sampleId	parsedLat	parsedLon	latFieldLabel	latFieldOriginalValue	lonFieldLabel	lonFieldOriginalValue
SRS4186435	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186443	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186450	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186456	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4186462	78.87933	12.30528	sample_lat_lon	78.87933 N 12.30528 E	sample_lat_lon	78.87933 N 12.30528 E
SRS4216015	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216025	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216027	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216028	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216044	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216045	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216046	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216047	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216083	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216088	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216090	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216091	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216092	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216093	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4216095	60.76	11.07	sample_lat_lon	60.76 N 11.07 E	sample_lat_lon	60.76 N 11.07 E
SRS4233845	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
SRS4233909	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
SRS4233925	51.0811	-114.1294	sample_lat_lon	51.0811 N 114.1294 W	sample_lat_lon	51.0811 N 114.1294 W
